job,operation,machine,start,finish
6,0,3,0,16
2,0,3,16,50
5,0,2,0,35
9,0,8,0,69
6,1,2,35,94
2,1,2,94,158
8,0,4,0,33
7,0,1,0,45
3,0,1,45,132
1,0,4,33,88
7,1,0,45,132
2,2,8,158,220
9,1,9,69,150
8,1,2,158,195
0,0,1,132,153
6,2,0,132,178
5,1,3,50,126
3,1,3,132,201
0,1,6,153,224
6,3,1,178,269
4,0,2,195,293
5,2,5,126,154
9,2,2,293,387
2,3,1,269,288
1,1,2,387,418
1,2,5,418,516
8,2,8,220,286
6,4,9,269,312
5,3,9,154,164
4,1,0,293,337
8,3,5,286,319
8,4,3,319,345
4,2,5,337,362
2,4,4,288,380
0,2,9,224,240
5,4,4,164,225
8,5,7,345,353
0,3,8,286,338
7,2,3,201,242
0,4,7,353,379
8,6,1,353,381
0,5,2,418,452
3,2,2,452,539
7,3,4,242,262
7,4,6,262,316
2,5,9,380,459
4,3,6,362,437
9,3,4,387,483
9,4,3,483,510
9,5,0,510,579
0,6,0,452,505
5,5,6,225,234
6,5,8,338,388
1,3,9,516,595
3,3,7,539,577
3,4,8,577,601
3,5,9,601,684
2,6,7,459,502
0,7,4,505,526
7,5,9,316,359
8,7,6,437,526
5,6,0,337,432
4,4,7,577,620
1,4,0,595,607
3,6,6,684,725
7,6,8,388,402
6,6,6,526,578
4,5,1,620,669
6,7,5,578,637
5,7,8,432,467
3,7,0,725,818
3,8,5,818,895
9,6,7,620,665
7,7,5,402,411
0,8,3,526,581
1,5,7,665,731
7,8,2,539,578
1,6,1,731,773
1,7,8,773,850
6,8,4,637,665
5,8,1,467,474
9,7,6,725,803
4,6,4,669,765
8,8,9,684,726
9,8,1,803,877
4,7,9,765,842
6,9,7,731,758
1,8,6,850,927
9,9,5,895,979
7,9,7,758,829
4,8,3,842,859
4,9,8,859,938
0,9,5,637,732
1,9,3,927,966
8,9,0,818,896
3,9,4,895,955
2,7,6,578,632
2,8,0,632,715
5,9,7,829,924
2,9,5,732,769
