job,operation,machine,start,finish
8,0,3,0,13
19,0,7,0,99
22,0,8,0,31
29,0,2,0,61
29,1,5,61,87
14,0,6,0,47
25,0,7,99,135
21,0,6,47,62
0,0,6,62,151
9,0,0,0,52
5,0,2,61,90
19,1,2,99,183
17,0,1,0,35
12,0,7,135,185
9,1,2,90,96
5,1,6,151,244
20,0,8,31,63
6,0,4,0,26
24,0,9,0,59
15,0,7,185,261
20,1,0,63,69
0,1,1,151,209
23,0,4,26,106
4,0,0,69,133
27,0,9,59,91
16,0,6,244,274
22,1,7,261,345
5,2,3,244,312
10,0,8,63,125
4,1,6,274,345
15,1,9,261,342
18,0,1,35,132
8,1,8,125,154
9,2,3,96,102
7,0,1,132,140
24,1,0,133,224
19,2,8,183,282
17,1,3,102,176
9,3,5,102,184
11,0,2,183,261
13,0,4,106,168
27,1,1,209,304
11,1,3,312,323
20,2,4,168,223
21,1,2,261,331
24,2,3,323,373
10,1,1,304,339
23,1,0,224,232
26,0,0,232,260
19,3,5,282,380
21,2,8,331,356
8,2,0,260,335
13,1,5,184,223
29,2,9,91,162
29,3,8,282,326
26,1,3,373,465
9,4,6,345,409
15,2,0,342,418
12,1,4,223,251
5,3,5,380,473
29,4,0,418,439
16,1,8,356,428
6,1,3,26,53
3,0,4,251,262
25,1,3,176,234
11,2,7,345,427
1,0,7,427,458
25,2,4,262,316
28,0,4,316,409
14,1,2,331,372
26,2,2,465,538
0,2,4,409,506
2,0,2,372,420
0,3,2,538,582
13,2,0,439,515
2,1,5,473,544
3,1,6,409,481
3,2,7,481,543
5,4,1,473,530
11,3,4,506,513
22,2,5,544,581
12,2,3,465,500
15,3,6,481,542
6,2,1,339,402
24,3,8,428,508
10,2,4,513,585
7,1,7,543,619
29,5,6,542,624
21,3,1,402,448
23,2,9,342,383
28,1,2,420,432
26,3,7,619,646
17,2,5,223,239
2,2,0,544,584
14,2,0,584,648
15,4,4,585,662
2,3,3,584,654
19,4,1,448,468
8,3,2,582,663
6,3,5,581,587
1,1,2,663,744
20,3,5,239,258
6,4,6,624,711
23,3,5,587,646
1,2,9,744,817
12,3,1,530,596
24,4,1,596,613
28,2,5,646,668
17,3,4,662,747
2,4,1,654,703
22,3,3,654,678
2,5,6,711,733
22,4,2,744,829
19,5,6,733,764
8,4,1,703,781
26,4,8,646,732
3,3,0,648,703
13,3,2,829,843
25,3,5,668,745
25,4,2,843,851
24,5,6,764,804
24,6,2,851,922
27,2,3,678,763
0,4,8,732,809
12,4,2,922,949
12,5,8,949,998
26,5,5,745,832
14,3,7,648,706
20,4,9,383,464
16,2,3,500,543
11,4,1,781,853
10,3,7,706,775
4,2,4,747,759
7,2,3,763,839
16,3,0,703,768
7,3,4,839,869
26,6,9,832,928
18,1,7,775,818
1,3,4,817,832
