job,operation,machine,start,finish
10,0,5,0,76
9,0,1,0,74
29,0,4,0,8
15,0,9,0,22
17,0,8,0,66
22,0,4,8,87
22,1,1,87,148
3,0,0,0,93
12,0,9,22,70
1,0,8,66,143
28,0,1,148,184
20,0,6,0,29
2,0,2,0,64
11,0,9,70,167
22,2,8,148,159
18,0,3,0,50
25,0,1,74,80
7,0,1,184,229
21,0,3,50,104
27,0,5,76,84
7,1,7,229,300
15,1,5,84,141
8,0,2,64,101
10,1,7,76,108
9,1,0,93,162
0,0,4,87,108
23,0,9,167,191
3,1,8,159,183
15,2,4,141,216
12,1,5,141,168
10,2,6,108,126
24,0,3,104,158
19,0,4,108,128
22,3,0,162,243
22,4,7,300,389
26,0,1,229,309
13,0,9,191,271
1,1,5,168,266
20,1,0,243,325
18,1,2,101,159
1,2,1,309,351
8,1,3,158,184
14,0,2,159,209
0,1,7,108,134
28,1,0,325,388
8,2,4,216,249
17,1,7,134,174
27,1,3,184,263
16,0,3,263,295
8,3,9,271,313
8,4,0,388,466
1,3,7,389,455
6,0,1,351,442
7,2,2,300,339
25,1,4,249,323
21,1,9,313,350
6,1,7,455,482
11,1,8,183,273
6,2,8,482,532
3,2,3,295,364
19,1,6,128,195
26,1,3,364,439
15,3,2,216,230
4,0,9,350,427
4,1,0,466,510
2,1,4,323,415
2,2,3,439,473
21,2,6,350,412
23,1,1,442,508
24,1,2,230,294
5,0,3,473,549
29,1,8,273,288
3,3,7,482,520
12,2,6,195,262
9,2,5,266,350
11,2,5,350,378
18,2,6,262,283
4,2,4,510,606
27,2,6,283,344
1,4,2,455,486
2,3,1,508,527
28,2,7,520,530
13,1,3,549,568
25,2,0,510,573
24,2,6,412,495
20,2,4,415,433
15,4,7,530,595
2,4,8,532,594
14,1,1,527,568
0,2,9,427,443
17,2,2,339,356
16,1,2,356,425
23,2,4,606,638
8,5,6,495,584
12,3,7,595,657
26,2,0,573,599
0,3,2,486,520
15,5,3,595,691
0,4,3,691,746
27,3,1,568,583
1,5,3,746,785
6,3,3,568,584
9,3,3,785,812
18,3,4,433,496
2,5,6,594,648
21,3,5,412,428
28,3,4,638,660
27,4,0,599,611
11,3,7,657,743
17,3,0,611,673
27,5,7,743,786
16,2,4,660,704
8,6,7,786,794
24,3,9,495,535
3,4,5,520,597
5,1,2,549,584
18,4,7,794,851
13,2,5,597,625
23,3,3,812,845
25,3,2,584,648
19,2,1,583,668
23,4,8,845,853
