job,operation,machine,start,finish
12,0,9,0,48
9,0,1,0,74
8,0,2,0,37
13,0,9,48,128
29,0,4,0,8
3,0,0,0,93
24,0,3,0,54
7,0,1,74,119
28,0,1,119,155
0,0,4,8,29
21,0,3,54,108
27,0,5,0,8
19,0,4,29,49
18,0,3,108,158
29,1,8,8,23
2,0,2,37,101
10,0,5,8,84
7,1,7,119,190
17,0,8,23,89
8,1,3,158,184
15,0,9,128,150
6,0,1,155,246
6,1,7,246,273
24,1,2,101,165
19,1,6,49,116
1,0,8,89,166
11,0,9,150,247
13,1,3,184,203
20,0,6,0,29
15,1,5,150,207
14,0,2,165,215
20,1,0,93,175
16,0,3,203,235
1,1,5,207,305
2,1,4,101,193
27,1,3,235,314
1,2,1,305,347
9,1,0,175,244
19,2,1,347,432
2,2,3,314,348
7,2,2,215,254
12,1,5,84,111
4,0,9,247,324
2,3,1,432,451
13,2,5,305,333
25,0,1,246,252
21,1,9,324,361
28,1,0,244,307
8,2,4,193,226
0,1,7,29,55
9,2,5,333,417
6,2,8,273,323
8,3,9,361,403
1,3,7,347,413
7,3,0,307,394
9,3,3,417,444
4,1,0,394,438
10,1,7,84,116
25,1,4,252,326
4,2,4,438,534
0,2,9,403,419
15,2,4,326,401
11,1,8,323,413
7,4,8,413,427
25,2,0,438,501
17,1,7,190,230
5,0,3,444,520
26,0,1,451,531
8,4,0,501,579
3,1,8,166,190
23,0,9,419,443
27,2,6,314,375
14,1,1,252,293
11,2,5,417,445
13,3,1,531,543
12,2,6,116,183
19,3,2,432,522
22,0,4,534,613
27,3,1,543,558
21,2,6,375,437
29,2,2,254,318
6,3,3,348,364
3,2,3,520,589
5,1,2,522,557
23,1,1,558,624
15,3,2,401,415
0,3,2,557,591
22,1,1,624,685
23,2,4,624,656
14,2,4,656,717
17,2,2,318,335
1,4,2,591,622
15,4,7,415,480
25,3,2,622,686
11,3,7,480,566
21,3,5,445,461
22,2,8,685,696
17,3,0,579,641
13,4,4,717,811
19,4,7,566,636
0,4,3,591,646
11,4,0,641,699
18,1,2,335,393
1,5,3,646,685
21,4,0,699,751
3,3,7,636,674
23,3,3,685,718
28,2,7,307,317
2,4,8,451,513
9,4,9,444,525
