job,operation,machine,start,finish
7,0,1,0,15
3,0,0,0,91
2,0,2,0,30
2,1,4,30,109
3,1,8,91,99
0,0,4,0,18
6,0,1,15,95
6,1,7,95,134
1,0,8,0,57
9,0,1,95,191
7,1,7,15,58
7,2,2,58,78
1,1,5,57,73
5,0,3,0,91
1,2,1,191,243
7,3,0,91,103
7,4,8,103,129
3,2,3,99,132
2,2,3,132,200
6,2,8,134,158
1,3,7,243,317
0,1,7,58,79
4,0,9,0,40
0,2,9,79,120
6,3,3,200,275
5,1,2,91,155
5,2,5,155,195
0,3,2,155,200
1,4,2,317,355
2,3,1,243,304
3,3,7,134,189
2,4,8,304,315
8,0,2,200,262
8,1,3,275,371
4,1,0,103,110
7,5,6,129,190
5,3,0,195,258
5,4,7,317,415
4,2,4,110,129
5,5,4,415,489
0,4,3,371,409
0,5,8,409,459
1,5,3,409,463
3,4,5,195,215
8,2,4,371,393
1,6,6,463,525
2,5,6,315,404
2,6,7,415,504
9,1,0,258,347
4,3,8,158,165
0,6,5,459,543
4,4,6,190,273
8,3,9,393,398
8,4,0,398,461
8,5,6,525,558
3,5,2,262,282
8,6,7,558,568
6,4,4,275,350
8,7,8,568,586
9,2,5,347,411
1,7,9,525,562
4,5,2,355,419
9,3,3,463,558
2,7,0,504,585
7,6,3,558,637
9,4,9,562,585
5,6,8,489,550
7,7,9,637,659
4,6,5,543,599
0,7,6,558,587
3,6,4,489,521
6,5,5,411,417
0,8,1,587,610
8,8,1,610,646
5,7,1,550,556
1,8,4,562,616
6,6,6,417,461
6,7,0,461,487
0,9,0,610,692
8,9,5,646,686
2,8,9,659,740
1,9,0,692,744
3,7,6,587,671
7,8,5,686,694
9,5,7,585,603
3,8,1,671,737
5,8,6,671,713
4,7,3,637,691
9,6,8,603,618
9,7,2,618,682
9,8,6,713,751
5,9,9,740,755
6,8,2,487,574
4,8,7,691,699
7,9,4,694,774
6,9,9,585,607
9,9,4,774,782
2,9,5,740,797
4,9,1,737,776
3,9,9,755,779
