job,operation,machine,start,finish
0,0,1,0,21
2,0,3,0,34
5,0,2,0,35
6,0,3,34,50
1,0,4,0,55
7,0,1,21,66
2,1,2,35,99
0,1,6,21,92
1,1,2,99,130
6,1,2,130,189
9,0,8,0,69
2,2,8,99,161
6,2,0,189,235
4,0,2,189,287
8,0,4,55,88
2,3,1,161,180
0,2,9,92,108
0,3,8,161,213
2,4,4,180,272
8,1,2,287,324
2,5,9,272,351
1,2,5,130,228
3,0,1,66,153
3,1,3,153,222
3,2,2,324,411
2,6,7,351,394
7,1,0,66,153
5,1,3,50,126
5,2,5,228,256
8,2,8,324,390
6,3,1,235,326
7,2,3,222,263
4,1,0,287,331
2,7,6,394,448
8,3,5,390,423
9,1,9,108,189
1,3,9,351,430
5,3,9,256,266
7,3,4,272,292
8,4,3,423,449
9,2,2,411,505
5,4,4,292,353
6,4,9,430,473
6,5,8,473,523
0,4,7,213,239
5,5,6,353,362
0,5,2,505,539
8,5,7,449,457
9,3,4,505,601
6,6,6,523,575
4,2,5,331,356
3,3,7,411,449
6,7,5,575,634
4,3,6,448,523
7,4,6,292,346
4,4,7,523,566
4,5,1,566,615
9,4,3,601,628
9,5,0,628,697
9,6,7,697,742
5,6,0,362,457
1,4,0,457,469
2,8,0,469,552
9,7,6,742,820
0,6,0,552,605
3,4,8,449,473
3,5,9,473,556
8,6,1,457,485
7,5,9,556,599
0,7,4,605,626
7,6,8,599,613
3,6,6,575,616
7,7,5,634,643
1,5,7,566,632
4,6,4,626,722
1,6,1,632,674
4,7,9,722,799
3,7,0,697,790
3,8,5,790,867
2,9,5,643,680
8,7,6,616,705
7,8,2,643,682
4,8,3,799,816
4,9,8,816,895
7,9,7,742,813
8,8,9,799,841
5,7,8,523,558
6,8,4,722,750
1,7,8,674,751
9,8,1,820,894
9,9,5,894,978
5,8,1,558,565
5,9,7,813,908
1,8,6,820,897
1,9,3,897,936
6,9,7,908,935
0,8,3,628,683
8,9,0,841,919
3,9,4,867,927
0,9,5,683,778
