job,operation,machine,start,finish
5,0,2,0,29
25,0,7,0,36
2,0,2,29,77
16,0,6,0,30
1,0,7,36,67
4,0,0,0,64
23,0,4,0,80
19,0,7,67,166
3,0,4,80,91
16,1,8,30,102
27,0,9,0,32
17,0,1,0,35
13,0,4,91,153
0,0,6,30,119
22,0,8,102,133
4,1,6,119,190
1,1,2,77,158
22,1,7,166,250
12,0,7,250,300
10,0,8,133,195
14,0,6,190,237
9,0,0,64,116
5,1,6,237,330
22,2,5,250,287
24,0,9,32,91
5,2,3,330,398
6,0,4,153,179
2,1,5,77,148
3,1,6,330,402
18,0,1,35,132
17,1,3,35,109
29,0,2,158,219
13,1,5,153,192
29,1,5,219,245
15,0,7,300,376
20,0,8,195,227
5,3,5,398,491
29,2,9,245,316
25,1,3,109,167
16,2,3,167,210
5,4,1,491,548
3,2,7,402,464
9,1,2,219,225
9,2,3,225,231
10,1,1,195,230
7,0,1,132,140
26,0,0,116,144
14,1,2,237,278
8,0,3,0,13
16,3,0,210,275
6,1,3,231,258
25,2,4,179,233
26,1,3,398,490
19,1,2,278,362
23,1,0,144,152
11,0,2,362,440
29,3,8,316,360
27,1,1,230,325
21,0,6,402,417
23,2,9,152,193
7,1,7,464,540
21,1,2,440,510
6,2,1,325,388
28,0,4,233,326
9,3,5,287,369
21,2,8,510,535
12,1,4,326,354
14,2,0,278,342
11,1,3,490,501
11,2,7,540,622
2,2,0,152,192
29,4,0,360,381
29,5,6,417,499
19,2,8,362,461
25,3,5,491,568
12,2,3,501,536
28,1,2,510,522
3,3,0,464,519
4,2,4,354,366
21,3,1,548,594
2,3,3,258,328
9,4,6,499,563
20,1,0,342,348
23,3,5,568,627
12,3,1,594,660
2,4,1,388,437
13,2,0,381,457
19,3,5,627,725
17,2,5,192,208
18,1,7,622,665
24,1,0,519,610
0,1,1,660,718
10,2,4,366,438
19,4,1,725,745
12,4,2,660,687
5,5,8,548,625
9,5,9,563,651
8,1,8,227,256
14,3,7,665,723
20,2,4,438,493
14,4,9,723,780
25,4,2,568,576
15,1,9,376,457
24,2,3,610,660
10,3,7,723,792
27,2,3,660,745
8,2,0,610,685
0,2,4,718,815
24,3,8,660,740
10,4,0,792,854
28,2,5,725,747
5,6,0,685,737
6,3,5,388,394
8,3,2,687,768
19,5,6,745,776
7,2,3,745,821
15,2,0,854,930
8,4,1,768,846
21,4,9,651,716
12,5,8,740,789
22,3,3,536,560
16,4,1,437,453
22,4,2,768,853
2,5,6,563,585
22,5,4,853,942
10,5,5,854,886
28,3,6,776,803
14,5,8,789,882
18,2,4,942,1014
3,4,2,522,539
24,4,1,745,762
19,6,3,821,895
13,3,2,539,553
27,3,6,803,884
1,2,9,457,530
3,5,5,747,822
6,4,6,585,672
13,4,6,672,728
8,5,5,886,974
18,3,6,1014,1102
16,5,4,493,585
13,5,3,895,992
20,3,5,822,841
3,6,3,992,999
23,4,7,792,848
2,6,4,585,595
19,7,0,930,1022
28,4,8,882,927
1,3,4,595,610
16,6,5,974,1069
11,3,4,622,629
25,5,6,728,737
14,6,3,999,1068
14,7,5,1069,1122
12,6,9,789,800
11,4,1,846,918
4,3,1,918,1008
25,6,0,737,782
9,6,8,927,981
28,5,7,927,996
1,4,1,1008,1095
28,6,3,1068,1128
11,5,8,981,1045
26,2,2,576,649
17,3,4,629,714
22,6,9,942,971
26,3,7,848,875
26,4,8,1045,1131
13,6,1,1095,1102
27,4,2,884,925
15,3,6,930,991
1,5,5,1122,1161
9,7,4,1014,1068
7,3,4,821,851
18,4,5,1161,1178
0,3,2,925,969
0,4,8,1131,1208
8,6,4,1068,1122
28,7,1,1128,1135
26,5,5,1178,1265
11,6,9,1045,1135
20,4,9,841,922
3,7,1,1135,1226
11,7,0,1135,1220
17,4,0,782,789
9,8,7,1068,1100
25,7,9,800,810
28,8,0,1220,1308
17,5,2,969,1050
4,4,2,1050,1144
7,4,6,1102,1186
11,8,5,1265,1353
6,5,7,996,1052
23,5,3,1128,1166
13,7,7,1102,1171
4,5,3,1166,1241
15,4,4,1122,1199
15,5,8,1208,1234
17,6,6,1186,1272
5,7,9,780,787
18,5,0,1308,1351
2,7,8,625,659
10,6,9,922,927
7,5,9,1186,1264
0,5,3,1241,1246
20,5,1,1226,1307
14,8,1,1307,1325
16,7,9,1135,1164
8,7,9,1264,1304
12,7,6,1272,1360
1,6,8,1234,1291
23,6,2,1166,1196
23,7,8,1291,1388
22,7,1,1325,1369
5,8,4,1199,1257
21,5,4,1257,1321
19,8,9,1022,1045
11,9,6,1360,1423
26,6,9,1304,1400
26,7,1,1400,1498
7,6,8,1388,1429
27,5,8,1429,1468
24,5,6,884,924
27,6,7,1468,1560
1,7,0,1351,1428
29,6,3,1246,1314
24,6,2,1196,1267
23,8,6,1423,1500
10,7,3,1314,1375
18,6,8,1468,1562
14,9,4,1325,1404
24,7,5,1353,1409
27,7,0,1560,1619
23,9,1,1500,1580
26,8,6,1500,1599
24,8,4,1409,1497
20,6,7,1307,1347
5,9,7,1347,1417
10,8,2,1375,1442
20,7,6,1599,1608
0,6,0,1428,1437
4,6,9,1400,1420
28,9,9,1420,1469
6,6,8,1562,1610
25,8,1,1369,1398
29,7,7,1417,1450
21,6,7,1560,1581
12,8,5,1409,1440
3,8,9,1469,1504
4,7,8,1610,1625
24,9,7,1581,1588
8,8,7,1450,1463
8,9,6,1608,1690
1,8,3,1428,1513
27,8,5,1619,1675
0,7,5,1440,1498
7,7,0,1437,1473
0,8,9,1504,1600
15,6,2,1267,1341
1,9,6,1690,1711
18,7,3,1562,1626
20,8,3,1626,1663
18,8,9,1626,1648
6,7,9,1648,1684
21,7,0,1619,1696
22,8,0,1473,1513
9,9,1,1102,1128
4,8,5,1675,1725
21,8,5,1725,1790
17,7,8,1625,1686
7,8,2,1473,1509
27,9,4,1675,1727
6,8,0,1696,1791
15,7,5,1498,1520
7,9,5,1520,1535
2,8,7,1171,1251
20,9,2,1663,1703
10,9,6,1711,1804
29,8,1,1580,1664
22,9,6,1804,1887
0,9,7,1600,1684
12,9,0,1513,1557
15,8,1,1664,1722
15,9,3,1722,1800
17,8,9,1686,1721
13,8,9,1721,1787
29,9,4,1727,1826
16,8,2,1509,1608
16,9,7,1684,1748
18,9,2,1703,1745
25,9,8,1686,1782
4,9,7,1748,1815
6,9,2,1791,1873
13,9,8,1787,1834
19,9,4,1497,1586
17,9,7,1815,1849
2,9,9,1787,1869
3,9,8,1834,1881
21,9,3,1800,1855
