job,operation,machine,start,finish
1,0,8,0,57
7,0,1,0,15
7,1,7,15,58
4,0,9,0,40
2,0,2,0,30
3,0,0,0,91
3,1,8,91,99
6,0,1,15,95
7,2,2,58,78
5,0,3,0,91
9,0,1,95,191
2,1,4,30,109
4,1,0,91,98
3,2,3,99,132
1,1,5,57,73
6,1,7,95,134
0,0,4,0,18
2,2,3,132,200
5,1,2,91,155
5,2,5,155,195
1,2,1,191,243
6,2,8,134,158
4,2,4,109,128
1,3,7,243,317
5,3,0,195,258
6,3,3,200,275
0,1,7,58,79
2,3,1,243,304
0,2,9,79,120
4,3,8,158,165
2,4,8,304,315
8,0,2,155,217
6,4,4,275,350
3,3,7,134,189
9,1,0,258,347
4,4,6,165,248
7,3,0,98,110
0,3,2,217,262
8,1,3,275,371
2,5,6,315,404
5,4,7,317,415
8,2,4,371,393
0,4,3,371,409
7,4,8,165,191
1,4,2,317,355
5,5,4,415,489
1,5,3,409,463
4,5,2,355,419
0,5,8,409,459
1,6,6,463,525
8,3,9,393,398
1,7,9,525,562
6,5,5,350,356
6,6,6,404,448
8,4,0,398,461
8,5,6,525,558
3,4,5,195,215
5,6,8,489,550
2,6,7,415,504
9,2,5,356,420
0,6,5,459,543
7,5,6,248,309
0,7,6,558,587
9,3,3,463,558
6,7,0,461,487
0,8,1,587,610
9,4,9,562,585
4,6,5,543,599
8,6,7,558,568
8,7,8,568,586
3,5,2,262,282
5,7,1,550,556
8,8,1,610,646
1,8,4,562,616
8,9,5,646,686
3,6,4,489,521
9,5,7,585,603
3,7,6,587,671
2,7,0,504,585
7,6,3,558,637
9,6,8,603,618
5,8,6,671,713
6,8,2,487,574
9,7,2,618,682
0,9,0,610,692
4,7,3,637,691
2,8,9,585,666
3,8,1,671,737
7,7,9,666,688
7,8,5,688,696
6,9,9,688,710
5,9,9,713,728
2,9,5,696,753
4,8,7,691,699
7,9,4,696,776
3,9,9,737,761
4,9,1,737,776
9,8,6,713,751
9,9,4,776,784
1,9,0,692,744
