job,operation,machine,start,finish
5,0,2,0,35
0,0,1,0,21
6,0,3,0,16
0,1,6,21,92
2,0,3,16,50
6,1,2,35,94
7,0,1,21,66
9,0,8,0,69
2,1,2,94,158
0,2,9,92,108
9,1,9,108,189
3,0,1,66,153
1,0,4,0,55
1,1,2,158,189
6,2,0,94,140
6,3,1,153,244
7,1,0,140,227
2,2,8,158,220
6,4,9,244,287
4,0,2,189,287
3,1,3,153,222
4,1,0,287,331
7,2,3,227,268
9,2,2,287,381
5,1,3,50,126
5,2,5,126,154
0,3,8,220,272
3,2,2,381,468
0,4,7,272,298
1,2,5,189,287
7,3,4,268,288
8,0,4,55,88
7,4,6,288,342
0,5,2,468,502
3,3,7,468,506
3,4,8,506,530
8,1,2,502,539
9,3,4,381,477
5,3,9,189,199
9,4,3,477,504
2,3,1,244,263
1,3,9,287,366
6,5,8,287,337
2,4,4,288,380
8,2,8,539,605
5,4,4,199,260
0,6,0,502,555
9,5,0,555,624
6,6,6,342,394
0,7,4,555,576
3,5,9,530,613
9,6,7,624,669
5,5,6,260,269
3,6,6,613,654
1,4,0,366,378
4,2,5,331,356
2,5,9,380,459
7,5,9,459,502
8,3,5,605,638
0,8,3,576,631
4,3,6,394,469
5,6,0,378,473
6,7,5,394,453
1,5,7,378,444
2,6,7,506,549
7,6,8,605,619
7,7,5,638,647
4,4,7,549,592
5,7,8,619,654
2,7,6,549,603
8,4,3,638,664
4,5,1,592,641
0,9,5,647,742
3,7,0,654,747
9,7,6,669,747
4,6,4,641,737
1,6,1,444,486
8,5,7,669,677
8,6,1,677,705
7,8,2,647,686
4,7,9,737,814
5,8,1,654,661
4,8,3,814,831
8,7,6,747,836
6,8,4,477,505
3,8,5,747,824
9,8,1,747,821
2,8,0,747,830
7,9,7,686,757
3,9,4,824,884
9,9,5,824,908
4,9,8,831,910
8,8,9,836,878
5,9,7,757,852
1,7,8,654,731
8,9,0,878,956
1,8,6,836,913
6,9,7,592,619
1,9,3,913,952
2,9,5,908,945
