job,operation,machine,start,finish
1,0,8,0,57
3,0,0,0,91
4,0,9,0,40
6,0,1,0,80
6,1,7,80,119
3,1,8,91,99
2,0,2,0,30
7,0,1,80,95
7,1,7,119,162
7,2,2,162,182
7,3,0,182,194
3,2,3,99,132
6,2,8,119,143
2,1,4,30,109
3,3,7,162,217
4,1,0,91,98
2,2,3,132,200
1,1,5,57,73
5,0,3,0,91
9,0,1,95,191
0,0,4,0,18
4,2,4,109,128
0,1,7,18,39
8,0,2,30,92
1,2,1,191,243
0,2,9,40,81
6,3,3,200,275
6,4,4,275,350
5,1,2,92,156
5,2,5,156,196
2,3,1,243,304
5,3,0,196,259
1,3,7,243,317
8,1,3,275,371
9,1,0,259,348
4,3,8,143,150
0,3,2,182,227
0,4,3,371,409
8,2,4,371,393
4,4,6,150,233
2,4,8,304,315
1,4,2,317,355
6,5,5,350,356
5,4,7,317,415
1,5,3,409,463
0,5,8,409,459
9,2,5,356,420
2,5,6,315,404
5,5,4,415,489
0,6,5,459,543
3,4,5,217,237
2,6,7,415,504
9,3,3,463,558
3,5,2,237,257
1,6,6,463,525
1,7,9,525,562
2,7,0,504,585
5,6,8,489,550
9,4,9,562,585
9,5,7,585,603
7,4,8,194,220
8,3,9,393,398
7,5,6,233,294
7,6,3,558,637
4,5,2,355,419
6,6,6,404,448
8,4,0,398,461
8,5,6,525,558
1,8,4,562,616
6,7,0,461,487
2,8,9,585,666
4,6,5,543,599
7,7,9,666,688
0,7,6,558,587
4,7,3,637,691
9,6,8,603,618
0,8,1,587,610
7,8,5,688,696
2,9,5,696,753
9,7,2,618,682
6,8,2,487,574
3,6,4,489,521
5,7,1,550,556
8,6,7,558,568
1,9,0,616,668
8,7,8,568,586
0,9,0,668,750
8,8,1,610,646
3,7,6,587,671
7,9,4,696,776
5,8,6,671,713
8,9,5,646,686
9,8,6,713,751
3,8,1,671,737
3,9,9,737,761
4,8,7,691,699
5,9,9,713,728
6,9,9,688,710
4,9,1,737,776
9,9,4,776,784
