job,operation,machine,start,finish
1,0,0,0,21
9,0,4,0,77
6,0,3,0,69
7,0,2,0,38
4,0,0,21,104
5,0,1,0,54
3,0,1,54,131
6,1,4,77,154
9,1,3,77,156
1,1,3,156,208
6,2,1,154,241
7,1,0,104,164
5,1,2,54,97
8,0,3,208,225
4,1,3,225,259
3,1,0,164,219
5,2,4,154,233
8,1,1,241,290
1,2,4,233,249
9,2,2,156,199
3,2,4,249,328
9,3,1,290,365
6,3,2,241,328
0,0,1,131,152
3,3,2,328,394
2,0,3,259,298
2,1,4,328,426
8,2,4,426,451
0,1,0,219,272
7,2,1,365,406
5,3,0,272,364
2,2,1,426,468
0,2,4,451,546
3,4,3,394,471
6,4,0,364,457
4,2,2,394,458
1,3,2,458,484
0,3,3,546,601
4,3,1,468,487
8,3,0,457,501
8,4,2,501,599
7,3,3,471,495
5,4,3,601,663
1,4,1,487,558
2,3,2,599,630
7,4,4,546,629
9,4,0,501,597
0,4,2,630,664
4,4,4,629,666
2,4,0,630,642
