job,operation,machine,start,finish
4,0,4,0,27
1,0,4,27,52
7,0,1,0,63
1,1,2,52,84
2,0,1,63,135
1,2,0,84,108
8,0,4,52,66
2,1,2,135,158
1,3,1,135,153
5,0,1,153,220
3,0,2,158,244
2,2,4,158,186
9,0,4,66,138
2,3,0,186,244
6,0,4,186,214
4,1,0,27,69
7,1,0,244,338
2,4,3,244,343
6,1,1,220,232
5,1,0,338,436
0,0,0,0,20
6,2,3,343,362
0,1,3,20,107
8,1,0,108,183
3,1,1,244,320
9,1,2,244,262
9,2,1,320,357
7,2,2,338,436
4,2,3,107,155
8,2,2,262,312
8,3,1,357,398
9,3,3,362,441
8,4,3,441,496
4,3,2,312,329
5,2,4,436,484
4,4,1,398,444
5,3,3,496,523
1,4,3,155,236
3,2,4,320,417
7,3,3,523,573
6,3,0,436,516
3,3,0,516,561
0,2,1,444,475
7,4,4,573,653
0,3,4,484,560
6,4,2,516,566
0,4,2,566,583
5,4,2,583,645
9,4,0,561,622
3,4,3,573,663
