job,operation,machine,start,finish
6,0,3,0,69
2,0,3,69,108
5,0,1,0,54
9,0,4,0,77
6,1,4,77,154
6,2,1,154,241
7,0,2,0,38
4,0,0,0,83
1,0,0,83,104
4,1,3,108,142
5,1,2,54,97
1,1,3,142,194
5,2,4,154,233
3,0,1,54,131
7,1,0,104,164
3,1,0,164,219
0,0,1,131,152
8,0,3,194,211
6,3,2,241,328
5,3,0,233,325
8,1,1,241,290
9,1,3,211,290
3,2,4,233,312
1,2,4,312,328
7,2,1,290,331
8,2,4,328,353
2,1,4,353,451
8,3,0,353,397
3,3,2,328,394
0,1,0,397,450
4,2,2,142,206
0,2,4,451,546
2,2,1,451,493
9,2,2,394,437
4,3,1,331,350
2,3,2,493,524
0,3,3,546,601
1,3,2,437,463
7,3,3,331,355
6,4,0,450,543
9,3,1,493,568
9,4,0,568,664
1,4,1,568,639
2,4,0,543,555
3,4,3,394,471
4,4,4,546,583
5,4,3,471,533
7,4,4,583,666
8,4,2,524,622
0,4,2,622,656
