job,operation,machine,start,finish
3,0,4,0,11
21,0,6,0,15
29,0,2,0,61
16,0,6,15,45
18,0,1,0,97
22,0,8,0,31
14,0,6,45,92
19,0,7,0,99
19,1,2,99,183
9,0,0,0,52
24,0,9,0,59
18,1,7,99,142
26,0,0,52,80
29,1,5,61,87
26,1,3,80,172
20,0,8,31,63
20,1,0,80,86
8,0,3,0,13
19,2,8,183,282
18,2,4,142,214
17,0,1,97,132
2,0,2,183,231
15,0,7,142,218
21,1,2,231,301
6,0,4,11,37
0,0,6,92,181
10,0,8,63,125
17,1,3,172,246
22,1,7,218,302
26,2,2,301,374
13,0,4,37,99
9,1,2,61,67
24,1,0,86,177
4,0,0,177,241
19,3,5,282,380
20,2,4,214,269
12,0,7,302,352
27,0,9,59,91
24,2,3,246,296
20,3,5,380,399
26,3,7,374,401
16,1,8,282,354
9,2,3,67,73
8,1,8,125,154
12,1,4,352,380
27,1,1,132,227
21,2,8,354,379
25,0,7,401,437
9,3,5,87,169
5,0,2,67,96
28,0,4,380,473
11,0,2,374,452
5,1,6,181,274
1,0,7,437,468
0,1,1,227,285
24,3,8,379,459
5,2,3,296,364
9,4,6,274,338
5,3,5,399,492
0,2,4,473,570
29,2,9,91,162
14,1,2,452,493
18,3,6,338,426
15,1,9,218,299
14,2,0,493,557
13,1,5,169,208
8,2,0,241,316
7,0,1,285,293
17,2,5,246,262
9,5,9,338,426
2,1,5,492,563
11,1,3,452,463
11,2,7,468,550
13,2,0,316,392
12,2,3,380,415
23,0,4,269,349
6,1,3,37,64
26,4,8,459,545
0,3,2,570,614
19,4,1,380,400
25,1,3,463,521
22,2,5,563,600
12,3,1,415,481
1,1,2,614,695
23,1,0,392,400
14,3,7,557,615
27,2,3,521,606
28,1,2,493,505
13,3,2,505,519
11,3,4,570,577
21,3,1,481,527
3,1,6,426,498
2,2,0,563,603
7,1,7,615,691
0,4,8,614,691
11,4,1,577,649
24,4,1,527,544
19,5,6,498,529
18,4,5,600,617
15,2,0,400,476
18,5,0,617,660
21,4,9,527,592
16,2,3,606,649
17,3,4,577,662
5,4,1,649,706
8,3,2,695,776
25,2,4,662,716
10,1,1,293,328
29,3,8,545,589
13,4,6,529,585
26,5,5,617,704
11,5,8,691,755
10,2,4,716,788
14,4,9,615,672
20,4,9,426,507
15,3,6,585,646
27,3,6,646,727
6,2,1,706,769
23,2,9,672,713
7,2,3,691,767
25,3,5,716,793
17,4,0,662,669
3,2,7,691,753
29,4,0,669,690
29,5,6,727,809
0,5,3,767,772
22,3,3,649,673
20,5,1,769,850
27,4,2,776,817
11,6,9,755,845
8,4,1,850,928
18,6,8,755,849
15,4,4,788,865
7,3,4,865,895
13,5,3,772,869
4,1,6,809,880
10,3,7,788,857
24,5,6,880,920
19,6,3,869,943
0,6,0,772,781
28,2,5,793,815
2,3,3,943,1013
26,6,9,845,941
16,3,0,690,755
5,5,8,849,926
17,5,2,817,898
1,2,9,941,1014
22,4,2,898,983
10,4,0,857,919
5,6,0,926,978
21,5,4,895,959
23,3,5,815,874
13,6,1,928,935
18,7,3,1013,1077
12,4,2,519,546
22,5,4,983,1072
7,4,6,920,1004
9,6,8,926,980
27,5,8,980,1019
8,5,5,928,1016
29,6,3,1077,1145
25,4,2,983,991
1,3,4,1072,1087
12,5,8,1019,1068
6,3,5,874,880
14,5,8,1068,1161
24,6,2,991,1062
14,6,3,1161,1230
28,3,6,1004,1031
3,3,0,781,836
1,4,1,1087,1174
4,2,4,959,971
0,7,5,1016,1074
21,6,7,959,980
0,8,9,1074,1170
15,5,8,1161,1187
5,7,9,1014,1021
13,7,7,980,1049
12,6,9,1170,1181
23,4,7,874,930
20,6,7,1049,1089
10,5,5,1074,1106
24,7,5,1106,1162
8,6,4,1087,1141
4,3,1,971,1061
17,6,6,1031,1117
25,5,6,1117,1126
9,7,4,1141,1195
6,4,6,1126,1213
27,6,7,1089,1181
1,5,5,1174,1213
27,7,0,1181,1240
6,5,7,1213,1269
7,5,9,1181,1259
29,7,7,1269,1302
18,8,9,1259,1281
16,4,1,935,951
2,4,1,1174,1223
16,5,4,1195,1287
7,6,8,1259,1300
11,7,0,978,1063
12,7,6,1213,1301
23,5,3,1230,1268
5,8,4,1287,1345
17,7,8,1187,1248
11,8,5,1213,1301
4,4,2,1062,1156
20,7,6,1301,1310
0,9,7,1302,1386
22,6,9,1281,1310
3,4,2,1156,1173
24,8,4,1345,1433
26,7,1,1223,1321
7,7,0,1300,1336
10,6,9,1310,1315
28,4,8,1300,1345
6,6,8,1345,1393
8,7,9,1315,1355
19,7,0,1063,1155
1,6,8,1393,1450
2,5,6,1310,1332
4,5,3,1268,1343
16,6,5,1301,1396
13,8,9,1355,1421
15,6,2,1187,1261
18,9,2,1281,1323
14,7,5,1396,1449
2,6,4,1433,1443
23,6,2,1323,1353
14,8,1,1449,1467
8,8,7,1386,1399
4,6,9,1421,1441
10,7,3,1343,1404
20,8,3,1404,1441
16,7,9,1441,1470
25,6,0,1240,1285
17,8,9,1470,1505
25,7,9,1505,1515
15,7,5,1449,1471
26,8,6,1332,1431
6,7,9,1515,1551
8,9,6,1431,1513
4,7,8,1450,1465
3,5,5,1471,1546
26,9,4,1443,1513
28,5,7,1399,1468
12,8,5,1546,1577
1,7,0,1450,1527
5,9,7,1468,1538
