job,operation,machine,start,finish
25,0,1,0,6
10,0,5,0,76
1,0,8,0,77
25,1,4,6,80
21,0,3,0,54
19,0,4,80,100
18,0,3,54,104
17,0,8,77,143
3,0,0,0,93
28,0,1,6,42
8,0,2,0,37
29,0,4,100,108
22,0,4,108,187
27,0,5,76,84
27,1,3,104,183
10,1,7,76,108
25,2,0,93,156
28,1,0,156,219
22,1,1,187,248
10,2,6,108,126
7,0,1,42,87
1,1,5,84,182
19,1,6,126,193
27,2,6,193,254
17,1,7,143,183
8,1,3,183,209
4,0,9,0,77
2,0,2,37,101
12,0,9,77,125
17,2,2,183,200
4,1,0,219,263
12,1,5,182,209
14,0,2,101,151
1,2,1,248,290
6,0,1,87,178
24,0,3,209,263
2,1,4,187,279
11,0,9,125,222
12,2,6,254,321
19,2,1,290,375
1,3,7,290,356
24,1,2,263,327
7,1,7,183,254
0,0,4,279,300
23,0,9,222,246
27,3,1,375,390
23,1,1,390,456
25,3,2,327,391
7,2,2,391,430
20,0,6,0,29
22,2,8,248,259
2,2,3,279,313
21,1,9,246,283
22,3,0,263,344
10,3,0,344,364
15,0,9,283,305
16,0,3,313,345
5,0,3,345,421
22,4,7,356,445
1,4,2,430,461
18,1,2,200,258
24,2,6,327,410
24,3,9,410,450
6,1,7,254,281
2,3,1,456,475
21,2,6,410,472
9,0,1,475,549
3,1,8,143,167
25,4,9,391,406
4,2,4,300,396
12,3,7,445,507
0,1,7,507,533
23,2,4,456,488
6,2,8,281,331
21,3,5,472,488
18,2,6,472,493
13,0,9,305,385
17,3,0,364,426
0,2,9,533,549
3,2,3,421,490
18,3,4,493,556
8,2,4,396,429
20,1,0,426,508
13,1,3,490,509
6,3,3,509,525
23,3,3,525,558
14,1,1,549,590
23,4,8,558,566
15,1,5,305,362
11,1,8,331,421
8,3,9,450,492
28,2,7,533,543
11,2,5,421,449
3,3,7,543,581
11,3,7,581,667
20,2,4,556,574
14,2,4,590,651
10,4,3,558,645
18,4,7,667,724
27,4,0,508,520
14,3,8,651,730
8,4,0,520,598
3,4,5,581,658
5,1,2,461,496
19,3,2,496,586
27,5,7,724,767
22,5,6,493,582
9,1,0,598,667
13,2,5,509,537
2,4,8,475,537
3,5,2,658,745
15,2,4,651,726
8,5,6,598,687
4,3,8,566,645
1,5,3,645,684
7,3,0,667,754
9,2,5,667,751
0,3,2,586,620
13,3,1,590,602
24,4,7,767,775
26,0,1,602,682
16,1,2,745,814
20,3,3,684,722
5,2,5,537,565
23,5,2,620,640
9,3,3,751,778
9,4,9,778,859
1,6,6,687,764
26,1,3,778,853
5,3,0,754,849
6,4,4,726,754
2,5,6,764,818
23,6,6,818,902
1,7,9,859,938
28,3,4,754,776
4,4,6,902,977
18,5,8,730,762
10,5,2,814,831
10,6,9,938,963
25,5,6,977,1019
2,6,7,818,861
14,4,5,751,765
21,4,0,849,901
19,4,7,861,931
11,4,0,901,959
26,2,0,959,985
5,4,7,931,1026
25,6,7,1026,1124
3,6,4,776,836
15,3,2,831,845
17,4,9,492,530
21,5,8,901,958
24,5,0,985,992
16,2,4,836,880
12,4,4,880,978
19,5,0,992,1076
15,4,7,1124,1189
29,1,8,167,182
11,5,1,959,1031
21,6,4,978,1032
29,2,2,845,909
16,3,1,880,911
12,5,0,1076,1118
1,8,4,1032,1087
7,4,8,762,776
6,5,5,765,824
6,6,6,1019,1071
0,4,3,853,908
3,7,6,1071,1112
14,5,9,963,1035
12,6,1,1118,1164
6,7,0,1118,1164
4,5,2,977,1075
28,4,3,908,1004
22,6,5,824,881
17,5,5,565,573
20,4,7,775,796
22,7,3,1004,1072
26,3,2,1075,1162
15,5,3,1189,1285
12,7,8,1164,1191
0,5,8,958,1010
17,6,6,582,597
13,4,4,1087,1181
23,7,0,1164,1255
8,6,7,796,804
11,6,2,1162,1185
13,5,6,1181,1244
14,6,7,1189,1207
7,5,6,1112,1166
25,7,8,1191,1252
27,6,8,776,802
19,6,8,1076,1106
26,4,9,1162,1184
9,5,7,1207,1252
5,5,4,1181,1242
28,5,5,1004,1044
13,6,7,1252,1350
9,6,8,1252,1321
12,8,3,1285,1333
29,3,3,1072,1167
29,4,1,1167,1263
11,7,6,1244,1320
15,6,1,1285,1356
4,6,5,1075,1100
16,4,9,1035,1086
2,7,0,1255,1338
7,6,3,1333,1374
3,8,1,1356,1443
22,8,9,1184,1265
28,6,9,1086,1091
29,5,6,1320,1358
11,8,3,1374,1473
16,5,0,1338,1371
13,7,8,1350,1400
15,7,0,1371,1418
0,6,5,1100,1195
18,6,5,881,901
29,6,7,1358,1376
27,7,9,1091,1113
17,7,3,722,751
9,7,2,1321,1415
5,6,8,1400,1435
5,7,1,1443,1450
5,8,6,1450,1459
15,8,8,1435,1514
28,7,8,1106,1124
14,7,3,1473,1528
21,7,2,1185,1223
18,7,9,1265,1352
19,7,5,1195,1251
5,9,9,1459,1469
2,8,9,1352,1431
24,6,4,1242,1261
21,8,7,1376,1450
26,5,7,1450,1489
9,8,6,1459,1537
27,8,2,1223,1243
16,6,6,1371,1405
17,8,1,751,795
25,8,5,1252,1292
0,7,6,1537,1608
6,8,2,1243,1302
4,7,3,1167,1184
22,9,2,1415,1445
14,8,6,1608,1645
20,5,8,802,852
3,9,9,1469,1552
